Date,Open,High,Low,Fear Greed
4/1/2011,,,,68
4/4/2011,,,,67
4/5/2011,,,,64
4/6/2011,,,,63
4/7/2011,,,,58
4/8/2011,,,,58
4/11/2011,,,,58
4/12/2011,,,,58
4/13/2011,,,,60
4/14/2011,,,,56
4/15/2011,,,,55
4/18/2011,,,,54
4/19/2011,,,,47
4/20/2011,,,,45
4/21/2011,,,,43
4/25/2011,,,,43
4/26/2011,,,,43
4/27/2011,,,,43
4/28/2011,,,,41
4/29/2011,,,,41
5/2/2011,,,,46
5/3/2011,,,,47
5/4/2011,,,,49
5/5/2011,,,,56
5/6/2011,,,,56
5/9/2011,,,,56
5/10/2011,,,,56
5/11/2011,,,,56
5/12/2011,,,,61
5/13/2011,,,,61
5/16/2011,,,,61
5/17/2011,,,,61
5/18/2011,,,,56
5/19/2011,,,,42
5/20/2011,,,,42
5/23/2011,,,,42
5/24/2011,,,,42
5/25/2011,,,,43
5/26/2011,,,,43
5/27/2011,,,,42
5/31/2011,,,,41
6/1/2011,,,,39
6/2/2011,,,,35
6/3/2011,,,,27
6/6/2011,,,,26
6/7/2011,,,,26
6/8/2011,,,,26
6/9/2011,,,,13
6/10/2011,,,,13
6/13/2011,,,,11
6/14/2011,,,,9
6/15/2011,,,,9
6/16/2011,,,,14
6/17/2011,,,,15
6/20/2011,,,,16
6/21/2011,,,,16
6/22/2011,,,,19
6/23/2011,,,,23
6/24/2011,,,,23
6/27/2011,,,,24
6/28/2011,,,,24
6/29/2011,,,,27
6/30/2011,,,,31
7/1/2011,,,,35
7/5/2011,,,,37
7/6/2011,,,,37
7/7/2011,,,,37
7/8/2011,,,,34
7/11/2011,,,,33
7/12/2011,,,,33
7/13/2011,,,,30
7/14/2011,,,,28
7/15/2011,,,,24
7/18/2011,,,,24
7/19/2011,,,,25
7/20/2011,,,,30
7/21/2011,,,,35
7/22/2011,,,,36
7/25/2011,,,,37
7/26/2011,,,,37
7/27/2011,,,,41
7/28/2011,,,,36
7/29/2011,,,,31
8/1/2011,,,,30
8/2/2011,,,,29
8/3/2011,,,,27
8/4/2011,,,,28
8/5/2011,,,,31
8/8/2011,,,,31
8/9/2011,,,,32
8/10/2011,,,,32
8/11/2011,,,,27
8/12/2011,,,,27
8/15/2011,,,,25
8/16/2011,,,,23
8/17/2011,,,,22
8/18/2011,,,,16
8/19/2011,,,,13
8/22/2011,,,,13
8/23/2011,,,,15
8/24/2011,,,,16
8/25/2011,,,,16
8/26/2011,,,,15
8/29/2011,,,,12
8/30/2011,,,,9
8/31/2011,,,,6
9/1/2011,,,,6
9/2/2011,,,,6
9/6/2011,,,,6
9/7/2011,,,,5
9/8/2011,,,,6
9/9/2011,,,,5
9/12/2011,,,,5
9/13/2011,,,,6
9/14/2011,,,,7
9/15/2011,,,,9
9/16/2011,,,,9
9/19/2011,,,,10
9/20/2011,,,,10
9/21/2011,,,,11
9/22/2011,,,,25
9/23/2011,,,,29
9/26/2011,,,,30
9/27/2011,,,,32
9/28/2011,,,,34
9/29/2011,,,,51
9/30/2011,,,,52
10/3/2011,,,,48
10/4/2011,,,,43
10/5/2011,,,,35
10/6/2011,,,,31
10/7/2011,,,,31
10/10/2011,,,,31
10/11/2011,,,,32
10/12/2011,,,,44
10/13/2011,,,,44
10/14/2011,,,,47
10/17/2011,,,,48
10/18/2011,,,,51
10/19/2011,,,,38
10/20/2011,,,,35
10/21/2011,,,,27
10/24/2011,,,,27
10/25/2011,,,,16
10/26/2011,,,,10
10/27/2011,,,,8
10/28/2011,,,,2
10/31/2011,,,,5
11/1/2011,,,,5
11/2/2011,,,,1
11/3/2011,,,,2
11/4/2011,,,,2
11/7/2011,,,,3
11/8/2011,,,,6
11/9/2011,,,,7
11/10/2011,,,,11
11/11/2011,,,,7
11/14/2011,,,,7
11/15/2011,,,,6
11/16/2011,,,,7
11/17/2011,,,,9
11/18/2011,,,,8
11/21/2011,,,,11
11/22/2011,,,,12
11/23/2011,,,,22
11/25/2011,,,,22
11/28/2011,,,,28
11/29/2011,,,,26
11/30/2011,,,,26
12/1/2011,,,,27
12/2/2011,,,,28
12/5/2011,,,,25
12/6/2011,,,,25
12/7/2011,,,,31
12/8/2011,,,,31
12/9/2011,,,,31
12/12/2011,,,,33
12/13/2011,,,,38
12/14/2011,,,,39
12/15/2011,,,,32
12/16/2011,,,,31
12/19/2011,,,,28
12/20/2011,,,,28
12/21/2011,,,,26
12/22/2011,,,,25
12/23/2011,,,,27
12/27/2011,,,,23
12/28/2011,,,,22
12/29/2011,,,,20
12/30/2011,,,,23
1/3/2012,,,,27
1/4/2012,,,,33
1/5/2012,,,,31
1/6/2012,,,,41
1/9/2012,,,,41
1/10/2012,,,,42
1/11/2012,,,,42
1/12/2012,,,,41
1/13/2012,,,,48
1/17/2012,,,,48
1/18/2012,,,,48
1/19/2012,,,,54
1/20/2012,,,,66
1/23/2012,,,,62
1/24/2012,,,,62
1/25/2012,,,,71
1/26/2012,,,,67
1/27/2012,,,,66
1/30/2012,,,,62
1/31/2012,,,,62
2/1/2012,,,,62
2/2/2012,,,,63
2/3/2012,,,,60
2/6/2012,,,,65
2/7/2012,,,,65
2/8/2012,,,,59
2/9/2012,,,,60
2/10/2012,,,,60
2/13/2012,,,,54
2/14/2012,,,,54
2/15/2012,,,,55
2/16/2012,,,,52
2/17/2012,,,,46
2/21/2012,,,,43
2/22/2012,,,,41
2/23/2012,,,,39
2/24/2012,,,,51
2/27/2012,,,,57
2/28/2012,,,,62
2/29/2012,,,,67
3/1/2012,,,,61
3/2/2012,,,,67
3/5/2012,,,,66
3/6/2012,,,,66
3/7/2012,,,,66
3/8/2012,,,,66
3/9/2012,,,,65
3/12/2012,,,,62
3/13/2012,,,,56
3/14/2012,,,,61
3/15/2012,,,,61
3/16/2012,,,,60
3/19/2012,,,,74
3/20/2012,,,,74
3/21/2012,,,,74
3/22/2012,,,,78
3/23/2012,,,,77
3/26/2012,,,,75
3/27/2012,,,,75
3/28/2012,,,,75
3/29/2012,,,,75
3/30/2012,,,,77
4/2/2012,,,,77
4/3/2012,,,,78
4/4/2012,,,,78
4/5/2012,,,,81
4/9/2012,,,,82
4/10/2012,,,,83
4/11/2012,,,,83
4/12/2012,,,,83
4/13/2012,,,,88
4/16/2012,,,,90
4/17/2012,,,,89
4/18/2012,,,,88
4/19/2012,,,,87
4/20/2012,,,,87
4/23/2012,,,,84
4/24/2012,,,,82
4/25/2012,,,,82
4/26/2012,,,,82
4/27/2012,,,,85
4/30/2012,,,,87
5/1/2012,,,,88
5/2/2012,,,,88
5/3/2012,,,,88
5/4/2012,,,,86
5/7/2012,,,,86
5/8/2012,,,,85
5/9/2012,,,,83
5/10/2012,,,,83
5/11/2012,,,,81
5/14/2012,,,,82
5/15/2012,,,,81
5/16/2012,,,,80
5/17/2012,,,,79
5/18/2012,,,,78
5/21/2012,,,,79
5/22/2012,,,,79
5/23/2012,,,,75
5/24/2012,,,,75
5/25/2012,,,,72
5/29/2012,,,,70
5/30/2012,,,,68
5/31/2012,,,,66
6/1/2012,,,,63
6/4/2012,,,,62
6/5/2012,,,,63
6/6/2012,,,,70
6/7/2012,,,,74
6/8/2012,,,,79
6/11/2012,,,,79
6/12/2012,,,,79
6/13/2012,,,,77
6/14/2012,,,,73
6/15/2012,,,,73
6/18/2012,,,,71
6/19/2012,,,,66
6/20/2012,,,,71
6/21/2012,,,,66
6/22/2012,,,,66
6/25/2012,,,,62
6/26/2012,,,,62
6/27/2012,,,,63
6/28/2012,,,,63
6/29/2012,,,,61
7/2/2012,,,,63
7/3/2012,,,,55
7/5/2012,,,,46
7/6/2012,,,,39
7/9/2012,,,,39
7/10/2012,,,,38
7/11/2012,,,,38
7/12/2012,,,,37
7/13/2012,,,,37
7/16/2012,,,,36
7/17/2012,,,,35
7/18/2012,,,,35
7/19/2012,,,,34
7/20/2012,,,,34
7/23/2012,,,,38
7/24/2012,,,,40
7/25/2012,,,,41
7/26/2012,,,,43
7/27/2012,,,,42
7/30/2012,,,,42
7/31/2012,,,,41
8/1/2012,,,,41
8/2/2012,,,,38
8/3/2012,,,,32
8/6/2012,,,,32
8/7/2012,,,,32
8/8/2012,,,,25
8/9/2012,,,,23
8/10/2012,,,,20
8/13/2012,,,,14
8/14/2012,,,,12
8/15/2012,,,,12
8/16/2012,,,,16
8/17/2012,,,,15
8/20/2012,,,,15
8/21/2012,,,,14
8/22/2012,,,,13
8/23/2012,,,,14
8/24/2012,,,,12
8/27/2012,,,,10
8/28/2012,,,,10
8/29/2012,,,,14
8/30/2012,,,,14
8/31/2012,,,,15
9/4/2012,,,,16
9/5/2012,,,,19
9/6/2012,,,,20
9/7/2012,,,,22
9/10/2012,,,,19
9/11/2012,,,,27
9/12/2012,,,,35
9/13/2012,,,,36
9/14/2012,,,,36
9/17/2012,,,,36
9/18/2012,,,,33
9/19/2012,,,,33
9/20/2012,,,,39
9/21/2012,,,,41
9/24/2012,,,,41
9/25/2012,,,,48
9/26/2012,,,,53
9/27/2012,,,,56
9/28/2012,,,,59
10/1/2012,,,,55
10/2/2012,,,,51
10/3/2012,,,,46
10/4/2012,,,,48
10/5/2012,,,,44
10/8/2012,,,,44
10/9/2012,,,,45
10/10/2012,,,,48
10/11/2012,,,,52
10/12/2012,,,,52
10/15/2012,,,,51
10/16/2012,,,,51
10/17/2012,,,,47
10/18/2012,,,,41
10/19/2012,,,,51
10/22/2012,,,,55
10/23/2012,,,,61
10/24/2012,,,,57
10/25/2012,,,,55
10/26/2012,,,,55
10/31/2012,,,,49
11/1/2012,,,,63
11/2/2012,,,,71
11/5/2012,,,,70
11/6/2012,,,,73
11/7/2012,,,,75
11/8/2012,,,,70
11/9/2012,,,,75
11/12/2012,,,,74
11/13/2012,,,,72
11/14/2012,,,,78
11/15/2012,,,,79
11/16/2012,,,,75
11/19/2012,,,,74
11/20/2012,,,,74
11/21/2012,,,,72
11/23/2012,,,,70
11/26/2012,,,,68
11/27/2012,,,,68
11/28/2012,,,,63
11/29/2012,,,,63
11/30/2012,,,,59
12/3/2012,,,,71
12/4/2012,,,,74
12/5/2012,,,,76
12/6/2012,,,,83
12/7/2012,,,,78
12/10/2012,,,,86
12/11/2012,,,,84
12/12/2012,,,,91
12/13/2012,,,,93
12/14/2012,,,,92
12/17/2012,,,,92
12/18/2012,,,,92
12/19/2012,,,,93
12/20/2012,,,,93
12/21/2012,,,,81
12/24/2012,,,,81
12/26/2012,,,,70
12/27/2012,,,,76
12/28/2012,,,,71
12/31/2012,,,,72
1/2/2013,,,,75
1/3/2013,,,,76
1/4/2013,,,,77
1/7/2013,,,,78
1/8/2013,,,,72
1/9/2013,,,,66
1/10/2013,,,,59
1/11/2013,,,,56
1/14/2013,,,,56
1/15/2013,,,,54
1/16/2013,,,,63
1/17/2013,,,,61
1/18/2013,,,,53
1/22/2013,,,,56
1/23/2013,,,,56
1/24/2013,,,,42
1/25/2013,,,,45
1/28/2013,,,,41
1/29/2013,,,,40
1/30/2013,,,,45
1/31/2013,,,,50
2/1/2013,,,,50
2/4/2013,,,,46
2/5/2013,,,,47
2/6/2013,,,,45
2/7/2013,,,,40
2/8/2013,,,,39
2/11/2013,,,,35
2/12/2013,,,,37
2/13/2013,,,,31
2/14/2013,,,,28
2/15/2013,,,,28
2/19/2013,,,,38
2/20/2013,,,,42
2/21/2013,,,,39
2/22/2013,,,,47
2/25/2013,,,,47
2/26/2013,,,,49
2/27/2013,,,,49
2/28/2013,,,,52
3/1/2013,,,,50
3/4/2013,,,,45
3/5/2013,,,,45
3/6/2013,,,,45
3/7/2013,,,,45
3/8/2013,,,,51
3/11/2013,,,,55
3/12/2013,,,,55
3/13/2013,,,,58
3/14/2013,,,,60
3/15/2013,,,,57
3/18/2013,,,,64
3/19/2013,,,,67
3/20/2013,,,,64
3/21/2013,,,,59
3/22/2013,,,,56
