Date,Open,High,Low,Close
4/1/2011,,,,17.4
4/4/2011,,,,17.5
4/5/2011,,,,17.25
4/6/2011,,,,16.9
4/7/2011,,,,17.11
4/8/2011,,,,17.87
4/11/2011,,,,16.59
4/12/2011,,,,17.09
4/13/2011,,,,16.92
4/14/2011,,,,16.27
4/15/2011,,,,15.32
4/18/2011,,,,16.96
4/19/2011,,,,15.83
4/20/2011,,,,15.07
4/21/2011,,,,14.69
4/25/2011,,,,15.77
4/26/2011,,,,15.62
4/27/2011,,,,15.35
4/28/2011,,,,14.62
4/29/2011,,,,14.75
5/2/2011,,,,15.99
5/3/2011,,,,16.7
5/4/2011,,,,17.08
5/5/2011,,,,18.2
5/6/2011,,,,18.4
5/9/2011,,,,17.16
5/10/2011,,,,15.91
5/11/2011,,,,16.95
5/12/2011,,,,16.03
5/13/2011,,,,17.07
5/16/2011,,,,18.24
5/17/2011,,,,17.55
5/18/2011,,,,16.23
5/19/2011,,,,15.52
5/20/2011,,,,17.43
5/23/2011,,,,18.27
5/24/2011,,,,17.82
5/25/2011,,,,17.07
5/26/2011,,,,16.09
5/27/2011,,,,15.98
5/31/2011,,,,15.45
6/1/2011,,,,18.3
6/2/2011,,,,18.09
6/3/2011,,,,17.95
6/6/2011,,,,18.49
6/7/2011,,,,18.07
6/8/2011,,,,18.79
6/9/2011,,,,17.77
6/10/2011,,,,18.86
6/13/2011,,,,19.61
6/14/2011,,,,18.26
6/15/2011,,,,21.32
6/16/2011,,,,22.73
6/17/2011,,,,21.85
6/20/2011,,,,19.99
6/21/2011,,,,18.86
6/22/2011,,,,18.52
6/23/2011,,,,19.29
6/24/2011,,,,21.1
6/27/2011,,,,20.56
6/28/2011,,,,19.17
6/29/2011,,,,17.27
6/30/2011,,,,16.52
7/1/2011,,,,15.87
7/5/2011,,,,16.06
7/6/2011,,,,16.34
7/7/2011,,,,15.95
7/8/2011,,,,15.95
7/11/2011,,,,18.39
7/12/2011,,,,19.87
7/13/2011,,,,19.91
7/14/2011,,,,20.8
7/15/2011,,,,19.53
7/18/2011,,,,20.95
7/19/2011,,,,19.21
7/20/2011,,,,19.09
7/21/2011,,,,17.56
7/22/2011,,,,17.52
7/25/2011,,,,19.35
7/26/2011,,,,20.23
7/27/2011,,,,22.98
7/28/2011,,,,23.74
7/29/2011,,,,25.25
8/1/2011,,,,23.66
8/2/2011,,,,24.79
8/3/2011,,,,23.38
8/4/2011,,,,31.66
8/5/2011,,,,32
8/8/2011,,,,48
8/9/2011,,,,35.06
8/10/2011,,,,42.99
8/11/2011,,,,39
8/12/2011,,,,36.36
8/15/2011,,,,31.87
8/16/2011,,,,32.85
8/17/2011,,,,31.58
8/18/2011,,,,42.67
8/19/2011,,,,43.05
8/22/2011,,,,42.44
8/23/2011,,,,36.27
8/24/2011,,,,35.9
8/25/2011,,,,39.76
8/26/2011,,,,35.59
8/29/2011,,,,32.28
8/30/2011,,,,32.89
8/31/2011,,,,31.62
9/1/2011,,,,31.82
9/2/2011,,,,33.92
9/6/2011,,,,37
9/7/2011,,,,33.38
9/8/2011,,,,34.32
9/9/2011,,,,38.52
9/12/2011,,,,38.59
9/13/2011,,,,36.91
9/14/2011,,,,34.6
9/15/2011,,,,31.97
9/16/2011,,,,30.98
9/19/2011,,,,32.73
9/20/2011,,,,32.86
9/21/2011,,,,37.32
9/22/2011,,,,41.35
9/23/2011,,,,41.25
9/26/2011,,,,39.02
9/27/2011,,,,37.71
9/28/2011,,,,41.08
9/29/2011,,,,38.84
9/30/2011,,,,42.96
10/3/2011,,,,45.45
10/4/2011,,,,40.82
10/5/2011,,,,37.81
10/6/2011,,,,36.27
10/7/2011,,,,36.2
10/10/2011,,,,33.02
10/11/2011,,,,32.86
10/12/2011,,,,31.26
10/13/2011,,,,30.7
10/14/2011,,,,28.24
10/17/2011,,,,33.39
10/18/2011,,,,31.56
10/19/2011,,,,34.44
10/20/2011,,,,34.78
10/21/2011,,,,31.32
10/24/2011,,,,29.26
10/25/2011,,,,32.22
10/26/2011,,,,29.86
10/27/2011,,,,25.46
10/28/2011,,,,24.53
10/31/2011,,,,29.96
11/1/2011,,,,34.77
11/2/2011,,,,32.74
11/3/2011,,,,30.5
11/4/2011,,,,30.16
11/7/2011,,,,29.85
11/8/2011,,,,27.48
11/9/2011,,,,36.16
11/10/2011,,,,32.81
11/11/2011,,,,30.04
11/14/2011,,,,31.13
11/15/2011,,,,31.22
11/16/2011,,,,33.51
11/17/2011,,,,34.51
11/18/2011,,,,32
11/21/2011,,,,32.91
11/22/2011,,,,31.97
11/23/2011,,,,33.98
11/25/2011,,,,34.47
11/28/2011,,,,32.13
11/29/2011,,,,30.64
11/30/2011,,,,27.8
12/1/2011,,,,27.41
12/2/2011,,,,27.52
12/5/2011,,,,27.84
12/6/2011,,,,28.13
12/7/2011,,,,28.67
12/8/2011,,,,30.59
12/9/2011,,,,26.38
12/12/2011,,,,25.67
12/13/2011,,,,25.41
12/14/2011,,,,26.04
12/15/2011,,,,25.11
12/16/2011,,,,24.29
12/19/2011,,,,24.92
12/20/2011,,,,23.22
12/21/2011,,,,21.43
12/22/2011,,,,21.16
12/23/2011,,,,20.73
12/27/2011,,,,21.91
12/28/2011,,,,23.52
12/29/2011,,,,22.65
12/30/2011,,,,23.4
1/3/2012,,,,22.97
1/4/2012,,,,22.22
1/5/2012,,,,21.48
1/6/2012,,,,20.63
1/9/2012,,,,21.07
1/10/2012,,,,20.69
1/11/2012,,,,21.05
1/12/2012,,,,20.47
1/13/2012,,,,20.91
1/17/2012,,,,22.2
1/18/2012,,,,20.89
1/19/2012,,,,19.87
1/20/2012,,,,18.28
1/23/2012,,,,18.67
1/24/2012,,,,18.91
1/25/2012,,,,18.31
1/26/2012,,,,18.57
1/27/2012,,,,18.53
1/30/2012,,,,19.4
1/31/2012,,,,19.44
2/1/2012,,,,18.55
2/2/2012,,,,17.98
2/3/2012,,,,17.1
2/6/2012,,,,17.76
2/7/2012,,,,17.65
2/8/2012,,,,18.16
2/9/2012,,,,18.63
2/10/2012,,,,20.79
2/13/2012,,,,19.04
2/14/2012,,,,19.54
2/15/2012,,,,21.14
2/16/2012,,,,19.22
2/17/2012,,,,17.78
2/21/2012,,,,18.19
2/22/2012,,,,18.19
2/23/2012,,,,16.8
2/24/2012,,,,17.31
2/27/2012,,,,18.19
2/28/2012,,,,17.96
2/29/2012,,,,18.43
3/1/2012,,,,17.26
3/2/2012,,,,17.29
3/5/2012,,,,18.05
3/6/2012,,,,20.87
3/7/2012,,,,19.07
3/8/2012,,,,17.95
3/9/2012,,,,17.11
3/12/2012,,,,15.64
3/13/2012,,,,14.8
3/14/2012,,,,15.31
3/15/2012,,,,15.42
3/16/2012,,,,14.47
3/19/2012,,,,15.04
3/20/2012,,,,15.58
3/21/2012,,,,15.13
3/22/2012,,,,15.57
3/23/2012,,,,14.82
3/26/2012,,,,14.26
3/27/2012,,,,15.59
3/28/2012,,,,15.47
3/29/2012,,,,15.48
3/30/2012,,,,15.5
4/2/2012,,,,15.64
4/3/2012,,,,15.66
4/4/2012,,,,16.44
4/5/2012,,,,16.7
4/9/2012,,,,18.81
4/10/2012,,,,20.39
4/11/2012,,,,20.02
4/12/2012,,,,17.2
4/13/2012,,,,19.55
4/16/2012,,,,19.55
4/17/2012,,,,18.46
